2026/06/10 16:32:59.783, 53, 11.59, 0, 0, [N/A], [N/A]
2026/06/10 16:33:00.808, 53, 11.52, 0, 0, [N/A], [N/A]
2026/06/10 16:33:01.834, 53, 11.39, 0, 0, [N/A], [N/A]
2026/06/10 16:33:02.860, 53, 11.22, 0, 0, [N/A], [N/A]
2026/06/10 16:33:03.916, 66, 37.35, 96, 0, [N/A], [N/A]
2026/06/10 16:33:04.983, 58, 55.28, 96, 0, [N/A], [N/A]
2026/06/10 16:33:06.029, 62, 55.64, 96, 0, [N/A], [N/A]
2026/06/10 16:33:07.073, 63, 52.68, 96, 0, [N/A], [N/A]
2026/06/10 16:33:08.121, 59, 56.53, 96, 0, [N/A], [N/A]
2026/06/10 16:33:09.158, 64, 57.24, 96, 0, [N/A], [N/A]
2026/06/10 16:33:10.204, 65, 52.89, 96, 0, [N/A], [N/A]
2026/06/10 16:33:11.258, 64, 56.01, 96, 0, [N/A], [N/A]
2026/06/10 16:33:12.299, 61, 55.75, 96, 0, [N/A], [N/A]
2026/06/10 16:33:13.361, 61, 52.02, 96, 0, [N/A], [N/A]
2026/06/10 16:33:14.415, 64, 56.32, 96, 0, [N/A], [N/A]
2026/06/10 16:33:15.452, 65, 56.85, 96, 0, [N/A], [N/A]
2026/06/10 16:33:16.504, 62, 53.15, 96, 0, [N/A], [N/A]
2026/06/10 16:33:17.552, 68, 57.38, 96, 0, [N/A], [N/A]
2026/06/10 16:33:18.588, 66, 57.47, 96, 0, [N/A], [N/A]
2026/06/10 16:33:19.664, 67, 54.88, 96, 0, [N/A], [N/A]
2026/06/10 16:33:20.709, 64, 56.26, 96, 0, [N/A], [N/A]
2026/06/10 16:33:21.747, 63, 57.71, 96, 0, [N/A], [N/A]
2026/06/10 16:33:22.810, 66, 54.97, 96, 0, [N/A], [N/A]
2026/06/10 16:33:23.862, 67, 57.35, 96, 0, [N/A], [N/A]
2026/06/10 16:33:24.901, 68, 58.84, 96, 0, [N/A], [N/A]
2026/06/10 16:33:25.965, 69, 55.52, 96, 0, [N/A], [N/A]
2026/06/10 16:33:27.012, 67, 57.41, 96, 0, [N/A], [N/A]
2026/06/10 16:33:28.078, 69, 55.18, 96, 0, [N/A], [N/A]
2026/06/10 16:33:29.166, 67, 57.87, 96, 0, [N/A], [N/A]
2026/06/10 16:33:30.203, 65, 57.90, 96, 0, [N/A], [N/A]
2026/06/10 16:33:31.256, 68, 54.60, 96, 0, [N/A], [N/A]
2026/06/10 16:33:32.311, 68, 58.34, 96, 0, [N/A], [N/A]
2026/06/10 16:33:33.352, 68, 58.29, 96, 0, [N/A], [N/A]
2026/06/10 16:33:34.397, 64, 53.66, 96, 0, [N/A], [N/A]
2026/06/10 16:33:35.438, 69, 58.10, 95, 0, [N/A], [N/A]
2026/06/10 16:33:36.472, 70, 58.20, 96, 0, [N/A], [N/A]
2026/06/10 16:33:37.532, 74, 54.97, 96, 0, [N/A], [N/A]
2026/06/10 16:33:38.608, 65, 58.36, 96, 0, [N/A], [N/A]
2026/06/10 16:33:39.651, 70, 58.31, 96, 0, [N/A], [N/A]
2026/06/10 16:33:40.693, 70, 54.84, 96, 0, [N/A], [N/A]
